word,reading,meaning,level,social_context,heatmap_data,insight_text,created_at
略,ほぼ,大略，大体上,N1,"{'casual': {'reason': '口语里能用，但要看语气轻重。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '副词在书面描述中通常更稳定。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '放在说明、评价、汇报里较自然。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'说明文': 75, '日常会话': 95, '朋友闲聊': 85}",「略」偏向给整句话加一层说话人的判断或语气，不只是补充意思。它常见于描写印象、推断或评价，所以真正自然的地方往往不在单独解释词义，而在它放进句子后带出的语感变化。和别的副词相比，用它时要注意句子整体的温度：如果前后本来很口语、很轻，它可能会显得稍微用力；如果前后是说明、评论、叙述，它就会更顺。读的时候可以把重点放在它怎样影响整句口气，而不只是记住“大略，大体上”这个释义。,2026-05-03 06:26:08.744074+00:00
閃く,ひらめく,闪；飘动；忽然想出,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'叙事描写': 85, '抽象讨论': 95, '日常会话': 75}",「閃く」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“闪；飘动；忽然想出”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
不作,ふさく,歉收，收成不好,N2,"{'casual': {'reason': '名词本身较中性，口语里容易落地。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '名词在书面表达中通常兼容度高。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '只要搭配自然，多数场景可用。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'说明文': 75, '新闻报道': 95, '社会话题': 85}",「不作」作为名词时，重点不只在字面意思“歉收，收成不好”，还在它常常落进什么语境里。这个词更自然的时候，通常会和具体动作、状态或评价搭在一起，而不是孤零零地摆着。看例句时可以留意它前后最容易靠近哪些动词或修饰语，那些搭配比单独背释义更能决定你以后用出来像不像日语。,2026-05-03 06:26:08.744074+00:00
踏み出す,ふみだす,迈出；出发；开始,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'叙事描写': 80, '抽象讨论': 90, '日常会话': 70}",「踏み出す」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“迈出；出发；开始”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
引き続き,ひきつづき,继续，接着；连续,N1,"{'casual': {'reason': '口语里能用，但要看语气轻重。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '副词在书面描述中通常更稳定。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '放在说明、评价、汇报里较自然。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'会议汇报': 75, '职场沟通': 85, '邮件书面': 95}",「引き続き」偏向给整句话加一层说话人的判断或语气，不只是补充意思。它常见于描写印象、推断或评价，所以真正自然的地方往往不在单独解释词义，而在它放进句子后带出的语感变化。和别的副词相比，用它时要注意句子整体的温度：如果前后本来很口语、很轻，它可能会显得稍微用力；如果前后是说明、评论、叙述，它就会更顺。读的时候可以把重点放在它怎样影响整句口气，而不只是记住“继续，接着；连续”这个释义。,2026-05-03 06:26:08.744074+00:00
不器用,ぶきよう,笨拙，不熟练，不灵巧,N2,"{'casual': {'reason': '名词本身较中性，口语里容易落地。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '名词在书面表达中通常兼容度高。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '只要搭配自然，多数场景可用。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'人物描写': 85, '日常会话': 95, '朋友闲聊': 75}",「不器用」作为名词时，重点不只在字面意思“笨拙，不熟练，不灵巧”，还在它常常落进什么语境里。这个词更自然的时候，通常会和具体动作、状态或评价搭在一起，而不是孤零零地摆着。看例句时可以留意它前后最容易靠近哪些动词或修饰语，那些搭配比单独背释义更能决定你以后用出来像不像日语。,2026-05-03 06:26:08.744074+00:00
柔らか,やわらか,柔软的；柔和的,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'人物描写': 90, '抽象讨论': 80, '日常会话': 85}",「柔らか」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“柔软的；柔和的”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
伸べる,のべる,伸展，伸开，伸出,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'人物描写': 80, '叙事描写': 70, '日常会话': 90}",「伸べる」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“伸展，伸开，伸出”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
ぬるい,ぬるい,微温的，不凉不热的；不严厉的,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'日常会话': 95, '吐槽/调侃': 85, '职场潜规则': 75}",「ぬるい」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“微温的，不凉不热的；不严厉的”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
悩み,なやみ,烦恼，苦恼，痛苦,N2,"{'casual': {'reason': '名词本身较中性，口语里容易落地。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '名词在书面表达中通常兼容度高。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '只要搭配自然，多数场景可用。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'情绪表达': 75, '日常会话': 85, '朋友闲聊': 95}",「悩み」作为名词时，重点不只在字面意思“烦恼，苦恼，痛苦”，还在它常常落进什么语境里。这个词更自然的时候，通常会和具体动作、状态或评价搭在一起，而不是孤零零地摆着。看例句时可以留意它前后最容易靠近哪些动词或修饰语，那些搭配比单独背释义更能决定你以后用出来像不像日语。,2026-05-03 06:26:08.744074+00:00
ノーマル,ノーマル,正常的，普通的,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'游戏': 95, '抽象讨论': 75, '日常会话': 85}",「ノーマル」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“正常的，普通的”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
延べる,のべる,伸出；铺开；延期,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'会议': 95, '公司日常': 75, '职场沟通': 80}",「延べる」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“伸出；铺开；延期”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
ばらまく,ばらまく,撒播，散布；到处花钱,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'SNS': 95, '社会话题': 85, '吐槽/调侃': 75}",「ばらまく」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“撒播，散布；到处花钱”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
引き下げる,ひきさげる,降价；降低；撤回,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'会议汇报': 85, '商务礼仪': 95, '新闻报道': 75}",「引き下げる」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“降价；降低；撤回”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
秘か,ひそか,秘密的，暗中的,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'人物描写': 95, '叙事描写': 85, '日常会话': 75}",「秘か」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“秘密的，暗中的”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
浸る,ひたる,浸泡；沉浸，沉醉,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'叙事描写': 85, '情绪表达': 95, '日常会话': 75}",「浸る」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“浸泡；沉浸，沉醉”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
膨れる,ふくれる,肿胀，鼓出；撅嘴,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'人物描写': 80, '抽象讨论': 70, '日常会话': 90}",「膨れる」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“肿胀，鼓出；撅嘴”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
父兄,ふけい,父兄；家长,N2,"{'casual': {'reason': '名词本身较中性，口语里容易落地。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '名词在书面表达中通常兼容度高。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '只要搭配自然，多数场景可用。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'学校': 95, '职场沟通': 85, '邮件书面': 75}",「父兄」作为名词时，重点不只在字面意思“父兄；家长”，还在它常常落进什么语境里。这个词更自然的时候，通常会和具体动作、状态或评价搭在一起，而不是孤零零地摆着。看例句时可以留意它前后最容易靠近哪些动词或修饰语，那些搭配比单独背释义更能决定你以后用出来像不像日语。,2026-05-03 06:26:08.744074+00:00
不十分,ふじゅうぶん,不够，不充分,N2,"{'casual': {'reason': '名词本身较中性，口语里容易落地。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '名词在书面表达中通常兼容度高。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '只要搭配自然，多数场景可用。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'会议汇报': 85, '职场沟通': 95, '邮件书面': 75}",「不十分」作为名词时，重点不只在字面意思“不够，不充分”，还在它常常落进什么语境里。这个词更自然的时候，通常会和具体动作、状态或评价搭在一起，而不是孤零零地摆着。看例句时可以留意它前后最容易靠近哪些动词或修饰语，那些搭配比单独背释义更能决定你以后用出来像不像日语。,2026-05-03 06:26:08.744074+00:00
